Address,Read/Write,Soft Miss,Hard Miss,Hit,Dirty,Value
5669,0,0,1,0,0,190
ED75,0,0,1,0,0,218
C51A,0,0,1,0,0,91
734D,0,0,1,0,0,176
D7D6,0,0,1,0,0,250
3B9E,1,0,1,0,1,-9050814
167D,0,0,1,0,0,39
A156,1,1,0,0,1,1503950
31C4,1,1,0,0,1,-9347090
1402,0,0,1,0,0,119
5977,0,0,1,0,0,75
AF0F,1,0,1,0,1,-8065770
B797,0,0,1,0,0,142
D3D1,0,0,1,0,0,235
8CC0,1,1,0,0,1,-4803909
163A,0,1,0,0,0,61
342F,1,0,1,0,1,8292250
D28F,1,0,1,0,1,1730203
86B7,0,1,0,0,0,93
C90D,0,0,1,0,0,198
EBA2,0,0,1,0,0,11
C2B9,1,0,1,0,1,4462172
E750,1,0,1,0,1,3111638
D178,1,1,0,0,1,4109286
E79F,0,1,0,0,0,223
7BC3,0,0,1,0,0,213
DF5C,0,0,1,0,0,6
D23F,0,1,0,0,0,157
A899,0,0,1,0,0,28
AC96,0,0,1,0,0,110
B39D,0,0,1,0,0,14
041C,0,1,0,0,0,232
5C36,0,1,0,0,0,228
418E,1,1,0,0,1,-6018224
271D,1,1,0,0,1,8883285
4A08,0,0,1,0,0,162
4C87,0,1,0,0,0,158
4993,0,1,0,0,0,234
AAC1,0,0,1,0,0,14
BEFE,0,0,1,0,0,55
B4AF,0,1,0,0,0,37
02FA,1,1,0,0,1,-7629402
4B41,0,1,0,0,0,93
B01C,0,0,1,0,0,168
7B56,0,1,0,0,0,205
E967,0,0,1,0,0,125
0AE1,0,0,1,0,0,49
4624,0,0,1,0,0,68
A613,0,0,1,0,0,214
133A,1,0,1,0,1,-1374335
0820,0,0,1,0,0,182
DEDF,1,0,1,0,1,-8835985
4D5C,0,0,1,0,0,180
4189,0,1,0,0,0,241
8CB1,0,1,0,0,0,103
9C61,1,0,1,0,1,9622269
644B,0,1,0,0,0,124
701D,0,1,0,0,0,215
F430,0,0,1,0,0,251
C6D5,1,0,1,0,1,-8880727
E76D,0,1,0,0,0,230
43E6,0,0,1,0,0,59
008F,0,0,1,0,0,222
D6BA,0,0,1,0,0,85
9BA0,1,0,1,0,1,-3165966
126C,0,1,0,0,0,140
9F77,0,0,1,0,0,135
EE7C,1,1,0,0,1,3545317
E0F0,0,1,0,0,0,138
7ACC,0,0,1,0,0,160
CAFC,1,1,0,0,1,5941975
1F7D,1,0,1,0,1,3418796
1B4D,0,0,1,0,0,134
6D3C,0,1,0,0,0,197
8FA1,0,0,1,0,0,183
EBD9,0,1,0,0,0,247
3EAB,0,0,1,0,0,76
0555,0,1,0,0,0,84
DF94,0,1,0,0,0,136
A59F,0,0,1,0,0,16
F03F,0,0,1,0,0,182
87A6,0,0,1,0,0,111
5EAB,0,0,1,0,0,110
F781,1,0,1,0,1,-7854581
0E91,0,0,1,0,0,149
20B0,0,0,1,0,0,234
9C49,0,1,0,0,0,190
AA42,0,1,0,0,0,152
7889,0,0,1,0,0,252
4093,1,0,1,0,1,-8947302
192B,0,1,0,0,0,198
E844,0,0,1,0,0,142
6273,0,0,1,0,0,55
43FF,1,1,0,0,1,9121249
1992,1,1,0,0,1,9142198
F2B3,0,0,1,0,0,10
F22E,0,0,0,1,0,184
01AF,0,1,0,0,0,217
3679,1,1,0,0,1,-3901524
EE1A,0,1,0,0,0,16
6D5E,0,1,0,0,0,193
